gene,expression
ARHGEF10L,9.651643117593428
HIF3A,2.8797883318140385
RNF17,0.252521422060164
RNF10,11.86466298997264
RNF11,11.084261257976301
RNF13,10.386729170464903
GTF2IP1,12.569989334548763
REM1,4.243304102096625
MTVR2,0.3064680948040109
RTN4RL2,5.480629079307208
C16orf13,9.396302187784864
C16orf11,0.37805824977210567
FGFR1OP2,8.841310118505017
TSKS,1.0710386508659961
ATRX,10.83618933454877
PMM2,10.175590519598904
LOC100272146,5.012990793072008
ASS1,10.194936463081127
NCBP1,10.09321230628989
ZNF709,6.766629352780309
ZNF708,7.501511577028259
RBM14,10.160192433910657
NCBP2,11.027145396535998
DISC1,6.8223635369188775
CAMK1,7.635343664539653
RPL37,13.321341750227907
SPR,9.909177210574281
ZNF700,8.413535733819504
ZNF707,8.110475752051036
CAMK4,3.7172702825888804
ZNF704,7.876898085688233
LOC339240,0.0847007292616226
GOLGA6B,1.1427451230628995
RNF115,9.247078395624433
RNF112,2.729708204193255
ZC3H14,10.236029535095732
SPN,7.332456882406558
HMGCLL1,3.5998265268915195
NACAP1,6.896974202370107
LRRTM1,0.45518268003646295
GRIN1,4.211492433910672
RBMY1A3P,0.00045742935278031
DHX8,10.219311485870543
DHX9,12.256422515952604
LOC441204,4.81916800364631
TCOF1,10.196691886964434
LRRTM3,0.3372941659070194
NUP98,11.271532269826798
XPC,10.06118623518688
SLC12A2,10.960830355515034
GRINA,12.632580036463098
LRRTM2,2.921324430264355
NUP93,9.76149270738378
HAP1,3.2597154968094806
KLRA1,4.840855241567914
CAMKV,0.9852640838650867
SPPL3,10.401799635369187
GOLIM4,9.26119516864176
ZNF646,9.311467547857788
OPA3,8.945877210574297
OPA1,10.821375478577943
RHEB,10.191534275296268
RAB40C,9.533246672743825
RAB40B,8.298994530537827
RAB40A,1.8631246125797634
COL7A1,7.382473381950773
MDP1,7.553352051048316
GTSE1,7.521323518687331
FAM183A,2.5264749316317205
ARFRP1,9.25738960802188
OVCH1,0.2904001823154059
FAM183B,0.9425422971741104
PSAP,14.978893618960807
KIAA0831,9.037434731084778
SPPL2A,9.594703737465812
SLC46A1,9.579134275296257
TGFBR2,10.743438103919788
ITGA8,4.553092069279855
ITGA9,6.862221969006386
STK40,10.162415496809482
MYO3B,3.3738347310847727
ATP2A1,3.0033222424794905
ATP2A2,12.47461631722882
ATP2A3,10.35624138559709
ITGA1,9.27198003646308
ITGA2,9.587534092980846
ITGA3,10.601133819507755
ITGA4,8.256461531449405
ITGA5,11.028041203281676
ITGA6,10.931271923427534
ITGA7,7.3623844120328155
TRHR,0.1004804010938924
LOC100132288,7.458043573381955
DENND4A,8.746294986326335
DENND4B,9.784446308113024
DENND4C,10.243638559708307
SWAP70,10.643692525068362
RARRES1,8.26236927985414
LOC100132287,7.871140109389237
PHLDA3,9.48245287146764
PHLDA2,6.86434129443938
TACO1,8.863665542388333
PMM1,8.810785688240646
GAP43,2.554906472196901
NENF,10.467183409298068
SQLE,10.696375113947138
MRPL28,9.91536618049224
LOC100289341,5.603907292616229
FBXL13,3.542945943482225
FBXL12,8.208977392889707
FBXL15,7.2566869644484955
CYP27B1,5.523525068368269
FBXL17,9.104539015496808
FBXL16,8.678043664539649
FAM169A,6.592462534184139
FAM116B,7.621905469462166
FAM116A,9.411156426618053
FAM169B,0.15594229717411118
RALGAPA2,8.328286052871464
GHDC,9.365493892433914
H19,10.924346399270746
SDK2,6.2615504102096695
GRP,5.398667092069275
TPRN,9.339467274384681
THSD4,10.589417684594359
KIAA0895L,7.754772743846856
CHST9,4.153145305378299
CHST8,5.53531859617137
COL4A5,9.20917793983591
COL4A4,5.016037465815858
COL4A3,2.7134912488605294
COL4A2,12.897028167730166
COL4A1,12.961601549680957
SLC35D2,8.59454020054695
CHST1,7.639597994530537
ZNF879,6.1559146763901555
CHST3,8.624434548769365
CHST2,6.9898477666362755
CHST5,2.292274293527803
CHST4,1.8661393801276225
CHST7,5.593104102096628
CHST6,5.0868055606198705
ITGAX,8.363760072926167
OR8J1,0.0059625341841385605
SNORD115-17,0.0
BCL2A1,5.695931905195988
GPSM2,9.060650774840473
HLCS,9.736119325433013
NOG,2.1615639015496817
LIPG,5.268648769371021
ITGAV,11.654985961713754
HIBCH,8.868118505013673
ZNF703,9.057129443938015
ITGAL,8.754284685505933
ITGAM,8.332222971741125
LOC286359,0.08064977210574295
HLF,6.399607839562431
NOV,6.815402096627167
FAM134C,11.013955423883322
FAM134B,9.090856335460346
FAM134A,11.491883865086587
